Agency,Street Address,City,State,Zip,Counties Served,Program Type,Funding Source,Program Description,Contract Dates,Contract Number,Funding Level
Albany County Children's Center,260 South Pearl Street,Albany,NY,12202,ALBANY,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15- 1/31/16,C026410,199421
Bivona Child Advocacy Center,275 Lake Avenue,Rochester,NY,14608,MONROE,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15- 9/30/16,C026603,338050
"Crime Victims Assistance Center, Inc. ",377 Robinson Street,Binghamton,NY,13904,BROOME,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026605,159441
Montefiore Medical Center/Child Protection Center,3314 Steuben Avenue,Bronx,NY,10467,BRONX,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/14-9/30/15,C026246,250175
Catholic Charities of Chenango County,3 O'Hara Drive,Norwich,NY,13815,CHENANGO,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026408,191407
Chemung County Department of Social Services,304 Hoffman Street,Elmira,NY,14905,CHEMUNG,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/14- 9/30/15,C026252,199868
C A C FOUNDATION INC,301 Beech Street,Fulton,NY,13069,OSWEGO,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026599,182489
"Mental Health Assoc. in Fulton and Montgomery Counties, Inc. ",307-309 Meadow Street,Johnstown,NY,12095,FULTON,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026727,121777
Niagara Falls Memorial Medical Center,501 Tenth Street,Niagara Falls,NY,14302,NIAGARA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026607,174777
Westchester County District Attorneys Office,WIHD/Cedarwood Hall,Valhalla,NY,10595,WESTCHESTER,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026406,191825
