iyear,ingroup,ingroup2,ingroup3,nperps,nperpcap,nkill,nkillter,nwound,nwoundte,propextent,propvalue
1970,3629,,,,,1,,0,,,
1970,3330,,,7,,0,,0,,,
1970,-9,,,,,1,,0,,,
1970,-9,,,,,,,,,,
1970,-9,,,,,,,,,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,623,,,3,,0,,0,,,
1970,-9,,,-99,-99,0,0,0,0,3,22500
1970,100003,,,1,1,0,0,0,0,3,60000
1970,100003,,,1,1,0,0,0,0,3,
1970,1231,,,,,0,,0,,3,0
1970,453,,,-99,-99,0,0,0,0,3,305
1970,-9,,,1,,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,3956,,,-99,-99,0,0,0,0,2,2000000
1970,4691,,,,,,,,,,
1970,1897,,,1,,1,,0,,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,4,
1970,2373,,,-99,-99,0,0,0,0,3,17000
1970,2373,,,-99,-99,0,0,1,0,3,
1970,623,,,5,,0,,0,,3,2500
1970,2373,,,3,-99,0,0,0,0,3,2200
1970,1110,,,2,2,0,0,0,0,,
1970,638,,,-99,-99,0,0,0,0,3,
1970,-9,,,1,,1,,0,,,
1970,-9,,,,,0,,0,,3,5000
1970,6012,,,3,,0,,0,,,
1970,612,,,-99,-99,0,0,0,0,3,
1970,638,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,2,0,3,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,3,8800
1970,-9,,,,,,,,,4,
1970,638,,,-99,-99,0,0,0,0,3,3000
1970,612,,,-99,-99,0,0,0,0,3,
1970,612,,,-99,-99,0,0,0,0,3,2500
1970,1110,,,-99,-99,0,0,0,0,3,
1970,520,,,,,0,,1,,,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,453,,,1,-99,0,0,0,0,3,4189
1970,2373,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,,
1970,-9,,,-99,-99,0,0,0,0,,
1970,-9,,,-99,-99,0,0,0,0,,
1970,612,,,-99,-99,0,0,0,0,3,
1970,2373,,,3,-99,0,0,0,0,3,200000
1970,638,,,-99,-99,0,0,0,0,3,1000
1970,638,,,-99,-99,0,0,0,0,3,
1970,3950,,,-99,-99,0,0,0,0,4,
1970,3950,,,-99,-99,0,0,0,0,4,
1970,3950,,,-99,-99,0,0,0,0,4,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,2,1000000
1970,3950,,,-99,-99,0,0,0,0,3,
