"","X","CLOSURE_REASON","TYPE","LATITUDE","LONGITUDE","AGES_0_9_...","AGES_10_19_...","AGES_20_34_...","AGES_35_54_...","AGES_55_64_...","AGES_65_UP_...","SOURCE","NEIGHBORHOOD","ZIPCODE","CASE_OPEN_.Days.","WORK_TRANSPORT_AT_HOME_...","WORK_TRANSPORT_CAR_TRUCK_VAN_...","WORK_TRANSPORT_DROVE_ALONE_...","WORK_TRANSPORT_CARPOOLED_...","WORK_TRANSPORT_BUS_TROLLEY_...","WORK_TRANSPORT_SUBWAY_ELEVATED_...","WORK_TRANSPORT_RAILROAD_...","WORK_TRANSPORT_BICYCLE_...","WORK_TRANSPORT_WALKED_...","WORK_TRANSPORT_OTHER_...","WORK_TRANSPORT_TOTAL_...","HOME_OWNER_...","HOME_RENTER_...","HOME_TOTAL_...","RACE_WHITE_...","RACE_AFRICAN_AMERICAN_...","RACE_HISPANIC_...","RACE_ASIAN_...","RACE_OTHER_...","RACE_TOTAL_...","REGION_MEDIAN_INCOME_(USD)"
"1",1,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#4 CREW","Request for Pothole Repair",42.3405,-71.1467,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2135",3,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"2",2,"Case Closed Case Resolved done","Request for Pothole Repair",42.3405,-71.1474,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2135",3,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"3",3,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"4",4,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"5",5,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"6",6,"Case Closed Case Resolved done","Request for Pothole Repair",42.3559,-71.1579,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"7",7,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3641,-71.1354,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"8",8,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3641,-71.1354,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"9",9,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3635,-71.1351,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"10",10,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3556,-71.139,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
