OBJECTID,Name,Neighborhood,Acres,Neighborhood_ID,SqMiles,ShapeSTArea,ShapeSTLength
1,Roslindale,Roslindale,1605.568238,15,2.51,69938272.93,53563.9126
2,Jamaica Plain,Jamaica Plain,2519.245394,11,3.94,109737890.8,56349.93716
3,Mission Hill,Mission Hill,350.8535636,13,0.55,15283120.02,17918.72411
4,Longwood,Longwood,188.6119467,28,0.29,8215903.537,11908.75715
5,Bay Village,Bay Village,26.53983916,33,0.04,1156070.766,4650.635493
6,Leather District,LeathDistrict,15.63990811,27,0.02,681271.6699,3237.140537
7,Chinatown,Chinatown,76.32440999,26,0.12,3324678.018,9736.590413
8,North End,North End,126.910439,14,0.2,5527506.015,16177.82682
9,Roxbury,Roxbury,2108.469072,16,3.29,91844545.97,49488.80048
10,South End,South End,471.5353556,32,0.74,20539997.95,17912.33357
11,Back Bay,Back Bay,399.3144111,2,0.62,17394066.03,19455.67115
12,East Boston,East Boston,3012.059593,8,4.71,131204789.9,119815.8191
13,Charlestown,Charlestown,871.5412229,4,1.36,37964183.77,57509.68864
14,West End,West End,190.4907324,31,0.3,8297743.118,17728.59003
15,Beacon Hill,Beacon Hill,200.156904,30,0.31,8718799.865,14303.82902
16,Downtown,Downtown,397.4728464,7,0.62,17313847.8,34612.80444
17,Fenway,Fenway,560.6184614,34,0.88,24420442.67,24620.87645
18,Brighton,Brighton,1840.408596,25,2.88,80167877.56,48787.51965
19,West Roxbury,West Roxbury,3516.421786,19,5.49,153174723.4,66067.41984
20,Hyde Park,Hyde Park,2927.221168,10,4.57,127509243.3,66861.24496
21,Mattapan,Mattapan,1352.098354,12,2.11,58897168.7,42005.77371
22,Dorchester,Dorchester,4662.879457,6,7.29,203114217,104344.034
23,South Boston Waterfront,South Boston Waterfront,621.8435237,29,0.97,27087395.39,38391.35291
24,South Boston,South Boston,1439.888807,17,2.25,62721306.14,64998.42028
25,Allston,Allston,998.5344787,24,1.56,43495988,37859.09124
26,Harbor Islands,Harbor Islands,824.8886579,22,1.29,35932006.1,92482.18357
