CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,Source,Geocoded_Location,Location 1
1.01E+11,9/12/11 0:00,9/29/14 0:00,Closed,Case Closed Case Resolved Clarendon St from Tremont to Columbus Ave was deemed a candidate for resurfacing by the engineers of the Public Works Department Construction division.    Clarendon St then was submitted to the utility companies for review and was either cleared or held up for planned utility work.    All the utility companies cleared Clarendon St to be resurfaced.    Clarendon St was resurfaced on 09/19/2013    Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Roadway Repair_ARP_Resurfacing,PWDx,38 Clarendon St  Boston  MA  02116,4,1C,2,D4,South End,6,Ward 4,401,CM,38 Clarendon St,2116,Address,33276,Citizens Connect App,"(42.3453, -71.0728)","(42.3453, -71.0728)"
1.01E+11,11/7/11 0:00,7/26/14 0:00,Closed,Case Closed Case Resolved Intersection is being constructed.    If you have any further questions  or feel that this case was closed in error  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831  Michael.Somers@Boston.gov,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Sidewalk Repair,PWDx,INTERSECTION of Berkeley St & Chandler St  Boston  MA,4,1C,2,D4,South End,6,Ward 5,501,,INTERSECTION Berkeley St & Chandler St,,Intersection,1360,Citizens Connect App,"(42.347, -71.071)","(42.347, -71.071)"
1.01E+11,3/23/12 0:00,11/10/14 0:00,Closed,Case Closed Case Noted 6 bricks were reset at this location.,Sidewalk Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Sidewalk Repair,PWDx,94-96 Tyler St  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,A,94-96 Tyler St,2111,Address,138854,Constituent Call,"(42.3487, -71.0614)","(42.3487, -71.0614)"
1.01E+11,3/27/12 0:00,3/18/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,0 Huntington Ave  Boston  MA  02116,4,1C,2,D4,Back Bay,6,4,402,E,0 Huntington Ave,2116,Address,76130,City Worker App,"(42.3483, -71.0776)","(42.3483, -71.0776)"
1.01E+11,6/27/12 0:00,10/15/14 0:00,Closed,Case Closed Case Noted Thank you for bringing this matter to our attention.    Staff from the Boston Public Works Department has reviewed the location and we are of the opinion that the location is a candidate for reconstruction.     Your request and location has been added to the master list of future reconstruction projects. Currently  the wait time for a reconstruction project of this nature can be up to five (5) years.     If you feel that there is an immediate safety concern at this location  please contact 617-635-4500 so that maintenance can be performed to make the location safer until the reconstruction can be started.    In the meantime  you may contact the Public Works Department Engineering Division at 617-635-4968 for information on your request.  Again  we appreciate and thank you for your interest in public safety and the welfare of your community.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Engineering_Design,PWDx,,,,,,,,,,,,,,,Self Service,"(42.3594, -71.0587)","(42.3594, -71.0587)"
1.01E+11,8/27/12 0:00,10/9/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Street Light_General Lighting Request,PWDx,425 S Huntington Ave  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1903,CM,425 S Huntington Ave,2130,Address,76796,Constituent Call,"(42.3202, -71.1121)","(42.3202, -71.1121)"
1.01E+11,9/8/12 0:00,12/2/14 0:00,Closed,,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Street Light_General Lighting Request,PWDx,INTERSECTION of Beacon St & Keswick St  Boston  MA,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 21,2101,,INTERSECTION Beacon St & Keswick St,,Intersection,1081,Self Service,"(42.3464, -71.1061)","(42.3464, -71.1061)"
1.01001E+11,1/26/13 0:00,7/24/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Street Light_General Lighting Request,PWDx,INTERSECTION of Charter St & Dillaway Pl  Boston  MA,3,1B,1,A1,Downtown / Financial District,3,Ward 3,302,,INTERSECTION Charter St & Dillaway Pl,,Intersection,2830,Constituent Call,"(42.3672, -71.0547)","(42.3672, -71.0547)"
1.01001E+11,2/21/13 0:00,8/1/14 0:00,Closed,Case Closed Case Resolved New Sidewalk installed at this location,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Street Light_General Lighting Request,PWDx,48 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,R4,48 Commonwealth Ave,2116,Address,159514,Self Service,"(42.3527, -71.0735)","(42.3527, -71.0735)"
1.01001E+11,3/17/13 0:00,8/1/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Street Light_General Lighting Request,PWDx,INTERSECTION of Commonwealth Ave & Gloucester St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Commonwealth Ave & Gloucester St,,Intersection,3394,Self Service,"(42.35, -71.0845)","(42.35, -71.0845)"
