Neighborhood,Decade,Education,Number of People,Percent of Population
Allston,1950,less than High School,4592,43.44%
Allston,1950,High School or GED,3848,36.40%
Allston,1950,Some College or Associate's Degree,841,7.96%
Allston,1950,Bachelor's Degree or Higher,1289,12.19%
Allston,1960,less than High School,4357,48.43%
Allston,1960,High School or GED,2667,29.64%
Allston,1960,Some College or Associate's Degree,798,8.87%
Allston,1960,Bachelor's Degree or Higher,1175,13.06%
Allston,1970,less than High School,2511,37.63%
Allston,1970,High School or GED,2117,31.73%
Allston,1970,Some College or Associate's Degree,797,11.95%
Allston,1970,Bachelor's Degree or Higher,1247,18.69%
Allston,1980,less than High School,1540,20.57%
Allston,1980,High School or GED,1942,25.94%
Allston,1980,Some College or Associate's Degree,1325,17.70%
Allston,1980,Bachelor's Degree or Higher,2680,35.80%
Allston,1990,less than High School,1688,17.96%
Allston,1990,High School or GED,1407,14.97%
Allston,1990,Some College or Associate's Degree,1260,13.41%
Allston,1990,Bachelor's Degree or Higher,5044,53.67%
Allston,2000,less than High School,1603,17.91%
Allston,2000,High School or GED,1503,16.79%
Allston,2000,Some College or Associate's Degree,1128,12.60%
Allston,2000,Bachelor's Degree or Higher,4716,52.69%
Allston,2010,less than High School,-,
Allston,2010,High School or GED,-,
Allston,2010,Some College or Associate's Degree,-,
Allston,2010,Bachelor's Degree or Higher,-,
Back Bay,1950,less than High School,4735,32.87%
Back Bay,1950,High School or GED,4445,30.86%
Back Bay,1950,Some College or Associate's Degree,2355,16.35%
Back Bay,1950,Bachelor's Degree or Higher,2870,19.92%
Back Bay,1960,less than High School,3823,30.44%
Back Bay,1960,High School or GED,3049,24.28%
Back Bay,1960,Some College or Associate's Degree,2236,17.81%
Back Bay,1960,Bachelor's Degree or Higher,3450,27.47%
Back Bay,1970,less than High School,1649,16.83%
Back Bay,1970,High School or GED,2630,26.84%
Back Bay,1970,Some College or Associate's Degree,1914,19.53%
Back Bay,1970,Bachelor's Degree or Higher,3606,36.80%
Back Bay,1980,less than High School,831,6.90%
Back Bay,1980,High School or GED,1675,13.92%
Back Bay,1980,Some College or Associate's Degree,2111,17.54%
Back Bay,1980,Bachelor's Degree or Higher,7420,61.64%
Back Bay,1990,less than High School,407,3.50%
Back Bay,1990,High School or GED,751,6.45%
Back Bay,1990,Some College or Associate's Degree,1788,15.36%
Back Bay,1990,Bachelor's Degree or Higher,8698,74.70%
Back Bay,2000,less than High School,337,2.72%
Back Bay,2000,High School or GED,717,5.79%
Back Bay,2000,Some College or Associate's Degree,1287,10.39%
Back Bay,2000,Bachelor's Degree or Higher,10051,81.11%
Back Bay,2010,less than High School,-,
Back Bay,2010,High School or GED,-,
Back Bay,2010,Some College or Associate's Degree,-,
Back Bay,2010,Bachelor's Degree or Higher,-,
Beacon Hill,1950,less than High School,3925,39.25%
Beacon Hill,1950,High School or GED,2787,27.87%
Beacon Hill,1950,Some College or Associate's Degree,1278,12.78%
Beacon Hill,1950,Bachelor's Degree or Higher,2010,20.10%
Beacon Hill,1960,less than High School,3049,34.64%
Beacon Hill,1960,High School or GED,1733,19.69%
Beacon Hill,1960,Some College or Associate's Degree,1327,15.07%
Beacon Hill,1960,Bachelor's Degree or Higher,2694,30.60%
Beacon Hill,1970,less than High School,1265,18.47%
Beacon Hill,1970,High School or GED,1465,21.39%
Beacon Hill,1970,Some College or Associate's Degree,1154,16.85%
Beacon Hill,1970,Bachelor's Degree or Higher,2965,43.29%
Beacon Hill,1980,less than High School,431,5.63%
Beacon Hill,1980,High School or GED,963,12.58%
Beacon Hill,1980,Some College or Associate's Degree,1577,20.61%
Beacon Hill,1980,Bachelor's Degree or Higher,4682,61.18%
Beacon Hill,1990,less than High School,248,3.50%
Beacon Hill,1990,High School or GED,403,5.69%
Beacon Hill,1990,Some College or Associate's Degree,968,13.66%
Beacon Hill,1990,Bachelor's Degree or Higher,5466,77.15%
Beacon Hill,2000,less than High School,226,3.02%
Beacon Hill,2000,High School or GED,405,5.41%
Beacon Hill,2000,Some College or Associate's Degree,943,12.60%
Beacon Hill,2000,Bachelor's Degree or Higher,5910,78.97%
Beacon Hill,2010,less than High School,-,
Beacon Hill,2010,High School or GED,-,
Beacon Hill,2010,Some College or Associate's Degree,-,
Beacon Hill,2010,Bachelor's Degree or Higher,-,
Brighton,1950,less than High School,14115,42.54%
Brighton,1950,High School or GED,12510,37.70%
Brighton,1950,Some College or Associate's Degree,3018,9.10%
Brighton,1950,Bachelor's Degree or Higher,3540,10.67%
Brighton,1960,less than High School,13735,42.39%
Brighton,1960,High School or GED,11135,34.37%
Brighton,1960,Some College or Associate's Degree,3771,11.64%
Brighton,1960,Bachelor's Degree or Higher,3760,11.60%
Brighton,1970,less than High School,10290,35.83%
Brighton,1970,High School or GED,9989,34.79%
Brighton,1970,Some College or Associate's Degree,3501,12.19%
Brighton,1970,Bachelor's Degree or Higher,4935,17.19%
Brighton,1980,less than High School,6427,21.66%
Brighton,1980,High School or GED,9298,31.34%
Brighton,1980,Some College or Associate's Degree,4374,14.74%
Brighton,1980,Bachelor's Degree or Higher,9569,32.25%
Brighton,1990,less than High School,5283,15.57%
Brighton,1990,High School or GED,7104,20.94%
Brighton,1990,Some College or Associate's Degree,5891,17.36%
Brighton,1990,Bachelor's Degree or Higher,15651,46.13%
Brighton,2000,less than High School,4180,12.41%
Brighton,2000,High School or GED,5870,17.42%
Brighton,2000,Some College or Associate's Degree,5252,15.59%
Brighton,2000,Bachelor's Degree or Higher,18391,54.58%
Brighton,2010,less than High School,-,
Brighton,2010,High School or GED,-,
Brighton,2010,Some College or Associate's Degree,-,
Brighton,2010,Bachelor's Degree or Higher,-,
Charlestown,1950,less than High School,10595,66.20%
Charlestown,1950,High School or GED,4490,28.05%
Charlestown,1950,Some College or Associate's Degree,545,3.41%
Charlestown,1950,Bachelor's Degree or Higher,375,2.34%
Charlestown,1960,less than High School,7238,66.48%
Charlestown,1960,High School or GED,3074,28.23%
Charlestown,1960,Some College or Associate's Degree,289,2.65%
Charlestown,1960,Bachelor's Degree or Higher,287,2.64%
Charlestown,1970,less than High School,4549,54.87%
Charlestown,1970,High School or GED,3036,36.62%
Charlestown,1970,Some College or Associate's Degree,382,4.61%
Charlestown,1970,Bachelor's Degree or Higher,324,3.91%
Charlestown,1980,less than High School,2999,36.07%
Charlestown,1980,High School or GED,3239,38.96%
Charlestown,1980,Some College or Associate's Degree,846,10.18%
Charlestown,1980,Bachelor's Degree or Higher,1230,14.79%
Charlestown,1990,less than High School,1751,16.78%
Charlestown,1990,High School or GED,2744,26.29%
Charlestown,1990,Some College or Associate's Degree,1817,17.41%
Charlestown,1990,Bachelor's Degree or Higher,4124,39.52%
Charlestown,2000,less than High School,1466,12.87%
Charlestown,2000,High School or GED,2341,20.55%
Charlestown,2000,Some College or Associate's Degree,1767,15.51%
Charlestown,2000,Bachelor's Degree or Higher,5820,51.08%
Charlestown,2010,less than High School,-,
Charlestown,2010,High School or GED,-,
Charlestown,2010,Some College or Associate's Degree,-,
Charlestown,2010,Bachelor's Degree or Higher,-,
Dorchester,1950,less than High School,53699,54.43%
Dorchester,1950,High School or GED,33561,34.02%
Dorchester,1950,Some College or Associate's Degree,6028,6.11%
Dorchester,1950,Bachelor's Degree or Higher,5367,5.44%
Dorchester,1960,less than High School,49999,56.01%
Dorchester,1960,High School or GED,29829,33.41%
Dorchester,1960,Some College or Associate's Degree,5340,5.98%
Dorchester,1960,Bachelor's Degree or Higher,4106,4.60%
Dorchester,1970,less than High School,37321,50.60%
Dorchester,1970,High School or GED,27999,37.96%
Dorchester,1970,Some College or Associate's Degree,5182,7.03%
Dorchester,1970,Bachelor's Degree or Higher,3260,4.42%
Dorchester,1980,less than High School,22172,37.52%
Dorchester,1980,High School or GED,24510,41.48%
Dorchester,1980,Some College or Associate's Degree,6956,11.77%
Dorchester,1980,Bachelor's Degree or Higher,5448,9.22%
Dorchester,1990,less than High School,21011,31.37%
Dorchester,1990,High School or GED,22206,33.15%
Dorchester,1990,Some College or Associate's Degree,13294,19.85%
Dorchester,1990,Bachelor's Degree or Higher,10469,15.63%
Dorchester,2000,less than High School,20297,28.71%
Dorchester,2000,High School or GED,21891,30.97%
Dorchester,2000,Some College or Associate's Degree,16152,22.85%
Dorchester,2000,Bachelor's Degree or Higher,12352,17.47%
Dorchester,2010,less than High School,-,
Dorchester,2010,High School or GED,-,
Dorchester,2010,Some College or Associate's Degree,-,
Dorchester,2010,Bachelor's Degree or Higher,-,
Downtown,1950,less than High School,3085,72.08%
Downtown,1950,High School or GED,670,15.65%
Downtown,1950,Some College or Associate's Degree,253,5.91%
Downtown,1950,Bachelor's Degree or Higher,272,6.36%
Downtown,1960,less than High School,2743,69.09%
Downtown,1960,High School or GED,506,12.75%
Downtown,1960,Some College or Associate's Degree,329,8.29%
Downtown,1960,Bachelor's Degree or Higher,392,9.87%
Downtown,1970,less than High School,985,39.56%
Downtown,1970,High School or GED,658,26.43%
Downtown,1970,Some College or Associate's Degree,330,13.25%
Downtown,1970,Bachelor's Degree or Higher,517,20.76%
Downtown,1980,less than High School,2102,33.72%
Downtown,1980,High School or GED,1230,19.73%
Downtown,1980,Some College or Associate's Degree,815,13.08%
Downtown,1980,Bachelor's Degree or Higher,2086,33.47%
Downtown,1990,less than High School,2139,30.73%
Downtown,1990,High School or GED,1144,16.43%
Downtown,1990,Some College or Associate's Degree,1035,14.87%
Downtown,1990,Bachelor's Degree or Higher,2643,37.97%
Downtown,2000,less than High School,2789,33.88%
Downtown,2000,High School or GED,1150,13.97%
Downtown,2000,Some College or Associate's Degree,844,10.25%
Downtown,2000,Bachelor's Degree or Higher,3450,41.90%
Downtown,2010,less than High School,-,
Downtown,2010,High School or GED,-,
Downtown,2010,Some College or Associate's Degree,-,
Downtown,2010,Bachelor's Degree or Higher,-,
East Boston,1950,less than High School,20945,73.76%
East Boston,1950,High School or GED,5990,21.10%
East Boston,1950,Some College or Associate's Degree,860,3.03%
East Boston,1950,Bachelor's Degree or Higher,600,2.11%
East Boston,1960,less than High School,18378,71.31%
East Boston,1960,High School or GED,6108,23.70%
